Time(s),Acceleration(m_s2),1_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118183
0.225001,-44.7388,
0.226,-65.6145,
0.227,-147.683,
0.228,-26.5591,
0.229001,-246.316,
0.230001,268.471,
0.231,-76.324,
0.232,197.202,
0.233,183.192,
0.234001,-86.7574,
0.235001,91.4519,
0.236,-54.157,
0.237,16.3675,
0.238,-79.295,
0.239001,122.353,
0.240001,-381.362,
0.241001,272.821,
0.242,-205.163,
0.243,151.579,
0.244001,-131.783,
0.245001,162.466,
0.246001,-192.001,
0.247,207.253,
0.248,-400.479,
0.249001,133.924,
0.250001,-111.46,
0.251,-84.7075,
0.252,-72.8001,
0.253001,242.867,
0.254001,-207.809,
0.255,204.754,
0.256001,-59.8406,
0.257001,-220.462,
0.258,101.198,
0.259,95.3505,
0.260001,-82.229,
0.261,263.903,
0.262,-211.736,
0.263001,-107.004,
0.264001,226.177,
0.265,-98.6668,
0.266001,-52.0876,
0.267001,-151.991,
0.268,-234.262,
0.269,311.833,
0.270001,54.5377,
0.271,123.76,
0.272,390.672,
0.273001,197.918,
0.274001,305.767,
0.275,113.858,
0.276001,-323.132,
0.277001,-126.723,
0.278,-251.71,
0.279,-34.2725,
0.280001,-428.618,
0.281,-185.799,
0.282,211.527,
0.283001,-154.491,
0.284001,322.277,
0.285,-162.472,
0.286001,153.215,
0.287001,145.156,
0.288,-142.784,
0.289001,9.21529,
0.290001,-292.195,
0.291,52.0628,
0.292,-110.599,
0.293001,-101.505,
0.294,-26.5606,
0.295,-35.7678,
0.296001,267.067,
0.297001,109.103,
0.298,-214.94,
0.299001,175.836,
0.3,137.846,
Time(s),Acceleration(m_s2),3_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118057
0,-9.18376,
0.00100005,-9.8651,
0.00200025,-9.86343,
0.00300078,-8.96689,
0.00400105,-10.0986,
0.00500028,-2.6288,
0.00600095,-129.687,
0.0070008,236.591,
0.00800043,57.8333,
0.0090004,155.975,
0.0100004,359.267,
0.0110003,149.842,
0.0120011,358.394,
0.0130005,154.223,
0.0140007,-146.337,
0.0150003,185.77,
0.0160008,-69.2253,
0.0170005,-101.988,
0.0180004,-172.236,
0.0190001,-194.727,
0.0200009,-47.7782,
0.0210007,-242.551,
0.0220006,-28.4776,
0.0230003,-122.677,
0.0240005,-39.4321,
0.0250008,286.541,
0.026001,-6.13391,
0.0270002,542.412,
0.0280004,434.194,
0.0290007,249.738,
0.0300009,119.612,
0.031,-152.472,
0.0320003,-143.71,
0.0330005,-327.288,
0.034001,-381.62,
0.0350001,-231.776,
0.0360003,-425.874,
0.0370006,-106.029,
0.0380008,50.8241,
0.0390011,78.8642,
0.0400002,147.214,
0.0410005,120.927,
0.0420007,140.205,
0.0430009,31.5461,
0.0440011,83.2468,
0.0450002,204.612,
0.0460005,138.89,
0.0470007,42.9379,
0.048001,260.26,
0.049001,140.508,
0.0500001,-69.3349,
0.0510002,-137.757,
0.0520003,-313.182,
0.0530004,277.03,
0.0540006,428.186,
0.0550007,183.779,
0.0560008,160.818,
0.057001,420.423,
0.058,8.27065,
0.0590002,169.549,
0.0600003,52.84,
0.0610004,85.0253,
0.0620005,-651.674,
0.0630005,613.601,
0.0640005,62.3156,
0.0650009,-424.645,
0.0660003,873.821,
0.0670007,241.294,
0.068001,1454.84,
0.0690004,240.956,
0.0700008,267.059,
0.0710002,300.813,
0.0720006,306.109,
0.073,919.279,
0.0740004,-94.5248,
0.0750009,668.819,
0.0760003,291.951,
0.0770007,785.154,
0.0780001,419.404,
0.0790004,993.633,
0.0800007,-102.312,
0.081,-840.271,
0.0820004,690.526,
0.0830007,-234.696,
0.084001,253.484,
0.0850003,-63.4614,
0.0860006,-707.138,
0.0870009,823.649,
0.0880006,64.0173,
0.089,152.745,
0.0900003,-322.581,
0.0910006,34.7762,
0.092001,132.578,
0.093,-401.651,
0.0940003,91.3696,
0.0950007,-47.0889,
0.096001,227.311,
0.0970003,-121.265,
0.0980006,-252.872,
0.0990009,984.737,
0.1,-147.743,
0.101001,525.458,
0.102,-466.217,
0.103001,341.274,
0.104001,-103.41,
0.105,94.8769,
0.106001,389.166,
0.107001,322.811,
0.108,-86.4022,
0.109001,657.47,
0.110001,-628.75,
0.111,326.922,
0.112,-552.985,
0.113001,41.3077,
0.114,-508.451,
0.115,-319.097,
0.116001,160.431,
0.117001,5.55432,
0.118,-90.1233,
0.119001,618.543,
0.120001,-335.328,
0.121,350.69,
0.122001,-451.448,
0.123001,-698.946,
0.124,131.373,
0.125,-166.564,
0.126001,-261.321,
0.127,-45.5412,
0.128001,112.173,
0.129,-314.515,
0.130001,277.029,
0.131001,23.2787,
0.132,24.9489,
0.133001,145.994,
0.134,-29.6515,
0.135001,371.238,
0.136001,-256.636,
0.137,146.331,
0.138001,-21.5825,
0.139,59.0874,
0.140001,7.59285,
0.141001,-381.682,
0.142,-100.693,
0.143,43.1482,
0.144001,-46.3001,
0.145001,-425.483,
0.146001,367.605,
0.147001,-479.564,
0.148001,223.673,
0.149001,-4.8619,
0.150001,-169.775,
0.151001,62.2283,
0.152,297.166,
0.153,-122.416,
0.154,279.588,
0.155001,55.7815,
0.156001,10.738,
0.157,337.281,
0.158,-163.364,
0.159,112.652,
0.160001,11.3124,
0.161001,94.2946,
0.162001,2.19262,
0.163,-184.52,
0.164,-28.099,
0.165001,-262.518,
0.166001,196.231,
0.167001,-71.4837,
0.168,-187.381,
0.169,72.3448,
0.170001,37.2712,
0.171001,209.914,
0.172001,107.329,
0.173,248.624,
0.174,250.352,
0.175001,-164.174,
0.176001,247.033,
0.177001,-29.8989,
0.178,-277.595,
0.179,-8.54146,
0.180001,-31.9719,
0.181001,216.643,
0.182001,-104.084,
0.183,176.448,
0.184,142.989,
0.185,237.393,
0.186001,152.087,
0.187001,574.672,
0.188,-60.9254,
0.189,-12.2301,
0.19,-9.9209,
0.191001,-270.343,
0.192,-66.8894,
0.193001,-515.746,
