Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157686
0.118,13.7789,
0.119,-252.149,
0.12,-807.629,
0.121001,-310.148,
0.122001,131.85,
0.123001,-56.345,
0.124001,-223.882,
0.125,88.3006,
0.126001,-383,
0.127,500.283,
0.128001,-327.087,
0.129,304.522,
0.130001,-224.988,
0.131,521.322,
0.132,23.6965,
0.133001,402.581,
0.134,-366.496,
0.135001,-499.536,
0.136,-161.749,
0.137001,-677.341,
0.138,-267.418,
0.139001,-316.069,
0.14,359.233,
0.141,250.514,
0.142001,-229.856,
0.143,178.858,
0.144001,-924.4,
0.145,423.574,
0.146001,-400.311,
0.147,-106.922,
0.148,1001.35,
0.149001,-127.043,
0.15,450.287,
0.151001,-167.822,
0.152,15.5713,
0.153001,-154.456,
0.154,-453.867,
0.155001,131.013,
0.156,-500.554,
0.157,-76.6025,
0.158001,442.984,
0.159,212.066,
0.160001,483.83,
0.161,-305.91,
0.162001,155.7,
0.163,106.649,
0.164,-309.471,
0.165,-209.298,
0.166,-413.92,
0.167001,416.35,
0.168,-38.4421,
0.169001,117.527,
0.17,-628.586,
0.171001,-62.767,
0.172,23.7717,
0.173,248.249,
0.174001,-284.841,
0.175,28.6626,
0.176001,158.468,
0.177,72.7614,
0.178001,418.714,
0.179,-122.231,
0.180001,115.069,
0.181,106.932,
0.182,44.2368,
0.183001,3.16932,
0.184,-0.688958,
0.185001,39.9636,
0.186,126.353,
0.187001,-79.6432,
0.188,-30.5901,
0.189,-464.629,
0.190001,293.388,
0.191,-1.5848,
0.192001,277.398,
0.193,77.7171,
0.194001,73.1736,
0.195,542.521,
0.196001,-12.1272,
0.197,-245.691,
0.198,408.316,
0.199001,-421.131,
0.2,106.382,
0.201001,-435.128,
0.202,-134.759,
0.203001,-231.617,
0.204,-0.688984,
0.205,86.947,
0.206001,-158.869,
0.207,60.2122,
0.208001,-186.763,
0.209,200.471,
0.210001,274.069,
0.211,-85.4265,
0.212001,183.115,
0.213,-29.6219,
0.214,160.502,
0.215001,-158.981,
0.216,336.597,
0.217001,-399.132,
0.218,163.397,
0.219001,-364.015,
0.22,-295.105,
0.221,-196.884,
0.222001,191.72,
0.223,-116.629,
0.224001,365.194,
0.225,-82.5292,
0.226001,215.793,
0.227,-159.979,
0.228001,-25.0766,
0.229,-351.898,
0.23,332.062,
0.231001,-332.196,
0.232,-38.9908,
0.233001,-630.889,
0.234,-327.006,
0.235001,-126.334,
0.236,323.252,
0.237001,-27.7618,
0.238,191.529,
0.239,-119.12,
0.240001,440.955,
0.241,-94.248,
0.242001,60.6292,
0.243,-131.853,
0.244001,112.574,
0.245,-158.712,
0.246,-248.155,
0.247001,6.26839,
0.248,21.3557,
0.249001,-187.379,
0.25,55.3174,
0.251001,-249.375,
0.252,92.2456,
0.253001,116.629,
0.254,-125.22,
0.255001,482.466,
0.256,320.576,
