Nodal History,Z-acceleration
Time,A119507,B121301,C121285,D8907,E121770,F121637,G121722,H121457,I121627,J122023,K122002,L120985,M120534,
    6.6999621689e-02,    2.1566451562e+05,    9.4485804688e+04,    1.3650426562e+05,    1.6206835938e+05,    1.2350536719e+05,    8.6774210938e+04,   -1.3036444531e+05,   -2.3089968750e+05,    1.8210792188e+05,    3.2829071875e+05,    2.5608888672e+04,    3.2445408203e+04,    1.3164614062e+05,
    6.7999891937e-02,    1.4923251562e+05,    1.4375946875e+05,    1.7416137500e+05,    1.6379059375e+05,    3.1155400000e+05,   -6.5771906250e+04,    1.6744892188e+05,    1.5961354688e+05,   -1.7467157812e+05,   -1.4241156250e+05,    2.3427745312e+05,    7.1334078125e+04,    1.0261913281e+05,
    6.8999558687e-02,   -1.6772552734e+04,    6.6570882812e+04,    9.3936359375e+04,    1.1643214844e+05,    1.4784681250e+05,    1.5253835938e+05,   -3.8801921875e+04,    1.0174296094e+05,    1.8102954688e+05,    5.8073910156e+04,    5.6549191406e+04,    2.0223173438e+05,    6.7946093750e+04,
    6.9999344647e-02,   -1.0265228125e+05,    2.3968787500e+05,    1.5276934375e+05,    1.1458039062e+05,    3.4159640625e+04,    3.7755631250e+05,    2.6933634375e+05,    2.6348362500e+05,    3.8863934375e+05,    1.2908617969e+05,    1.0443581250e+05,   -2.4747612305e+03,    1.1913951562e+05,
    7.0999950171e-02,    1.2487270312e+05,    2.0167100000e+05,    6.6830703125e+04,    2.1861170312e+05,    6.1752335938e+04,    5.8944640625e+04,    3.2931353125e+05,    3.3811700000e+05,   -7.7133320312e+04,   -8.5796078125e+04,    1.4645329688e+05,    9.6906015625e+04,    9.6292570312e+04,
    7.1999318898e-02,    1.3978189062e+05,   -3.7096859375e+04,   -3.0292660156e+04,    2.1060535938e+05,    9.5530406250e+04,    4.9318605469e+04,    1.6593146875e+05,    1.4417218750e+04,    6.4250574219e+04,    1.3266273438e+05,    1.5549879688e+05,    3.8540593750e+04,    1.2546239258e+04,
    7.2999566793e-02,    1.3180432812e+05,    2.0074046875e+05,    1.6255906250e+05,   -6.0333050781e+04,   -2.7771003906e+04,    1.6153412500e+05,   -1.8135287500e+05,   -1.6935017188e+05,    1.4842181250e+05,    1.7077418750e+05,   -6.4286101562e+04,    1.5784778125e+05,    1.3187465625e+05,
    7.3999404907e-02,    1.5171823438e+05,   -2.3890855469e+04,    8.9168750000e+04,   -4.0455859375e+02,    2.5774346875e+05,    4.5362902344e+04,   -2.9132224609e+04,    1.8534394531e+04,    5.7099277344e+04,    6.4033000000e+04,    1.4650428125e+05,    1.9582115625e+05,    1.3213357812e+05,
    7.4999466538e-02,    1.2326653125e+05,   -9.3144937500e+04,   -4.4915480469e+04,    5.8920058594e+04,    1.6087478125e+05,    9.8464695312e+04,    5.3179687500e+04,    2.6691269531e+04,    8.9784171875e+04,    1.1693285156e+05,    1.4674560938e+05,    1.7616921875e+05,    2.8455206250e+05,
    7.5999729335e-02,   -7.7305859375e+04,    7.4322539062e+04,    3.4224132812e+04,    1.8563172913e+02,   -1.3844956250e+05,    1.5636421875e+05,    1.7537784375e+05,    5.9489308594e+04,    1.3469481250e+05,    8.8078890625e+04,   -5.2924804688e+04,    5.2009640625e+04,    1.5139614062e+05,
