Time(s),Acceleration(m_s2),1_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27292
0.202001,300.796,
0.203001,174.302,
0.204001,451.277,
0.205001,344.205,
0.206,226.611,
0.207001,261.999,
0.208,158.605,
0.209001,471.521,
0.21,477.158,
0.211001,446.236,
0.212001,382.747,
0.213001,204.473,
0.214001,469.735,
0.215,318.798,
0.216001,552.569,
0.217,319.305,
0.218001,562.61,
0.219,809.734,
0.220001,391.248,
0.221001,105.239,
0.222001,435.306,
0.223001,137.462,
0.224,486.324,
0.225001,371.06,
0.226,190.647,
0.227001,365.026,
0.228,261.432,
0.229001,395.844,
0.230001,137.053,
0.231001,302.616,
0.232001,259.758,
0.233,306.379,
0.234001,258.928,
0.235,368.456,
0.236001,97.3369,
0.237,351.564,
0.238001,347.993,
0.239001,495.048,
0.240001,592.942,
0.241001,315.209,
0.242,551.8,
0.243001,262.965,
0.244,364.294,
0.245001,125.031,
0.246,429.899,
0.247001,420.34,
0.248001,385.166,
0.249001,192.771,
0.250001,533.329,
0.251001,69.8154,
0.252001,147.432,
0.253001,682.396,
0.254001,262.859,
0.255001,89.106,
0.256001,247.529,
0.257,351.722,
0.258,472.545,
0.259,557.248,
0.26,549.504,
0.261,502.976,
0.262001,267.373,
0.263001,184.909,
0.264001,127.278,
0.265001,411.381,
0.266001,117.809,
0.267001,268.21,
0.268001,208.055,
0.269001,549.721,
0.270001,143.29,
0.271001,240.401,
0.272,232.027,
0.273,392.189,
0.274,351.789,
0.275,203.286,
0.276,317.83,
0.277001,220.372,
0.278001,209.629,
0.279001,262.338,
0.280001,840.061,
0.281001,337.158,
0.282001,199.557,
0.283001,166.841,
0.284001,206.688,
0.285001,372.353,
0.286,117.701,
0.287,513.163,
0.288,215.387,
0.289,351.894,
0.29,262.593,
0.291001,460.938,
0.292001,324.29,
0.293001,452.771,
0.294001,745.864,
0.295001,33.238,
0.296001,232.198,
0.297001,272.527,
0.298001,444.933,
0.299001,175.68,
0.3,382.333,
Time(s),Acceleration(m_s2),4_AT3_Floor/A/MeshedPart-PART-1-1 in Element 24368
0,10.3553,
0.00100038,10.5444,
0.00200076,9.16067,
0.00300121,9.61536,
0.00400014,10.228,
0.00500043,337.071,
0.00600064,159.025,
0.00700042,173.956,
0.00800017,336.207,
0.00900046,262.156,
0.0100007,203.624,
0.0110007,144.121,
0.0120009,120.26,
0.0130012,329.195,
0.0140004,396.772,
0.0150012,133.182,
0.0160003,449.358,
0.0170002,376.459,
0.0180002,228.361,
0.0190002,346.43,
0.0200014,233.428,
0.0210003,194.357,
0.0220008,151.825,
0.0230011,622.696,
0.0240004,489.772,
0.0250013,273.328,
0.0260002,165.333,
0.0270005,89.1111,
0.0280008,288.87,
0.0290011,247.818,
0.0300014,208.019,
0.0310002,322.942,
0.0320004,260.548,
0.0330007,390.55,
0.034001,270.415,
0.0350013,226.177,
0.0360001,592.182,
0.0370004,338.026,
0.0380007,129.958,
0.039001,167.716,
0.0400013,126.854,
0.0410001,412.749,
0.0420004,289.03,
0.0430007,395.193,
0.0440001,309.358,
0.045001,408.942,
0.0460009,205.536,
0.0470004,330.461,
0.0480003,205.849,
0.049,194.746,
0.0500012,508.801,
0.0510008,411.858,
0.0520002,524.357,
0.053001,372.407,
0.0540003,355.16,
0.0550012,230.234,
0.0560005,456.919,
0.0570013,232.287,
0.0580007,182.199,
0.0590015,262.822,
0.0600008,956.527,
0.0610002,1099.24,
0.062001,720.069,
0.0630003,985.206,
0.0640012,426.539,
0.0650005,729.401,
0.0660013,703.642,
0.0670007,376.459,
0.0680015,589.322,
0.0690008,558.336,
