Time(s),Acceleration(m_s2),1_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161210
0.279,-114.329,
0.280001,284.764,
0.281,181.193,
0.282,219.388,
0.283001,-144.872,
0.284,-239.235,
0.285001,256.114,
0.286,-245.913,
0.287,239.576,
0.288001,207.627,
0.289,197.814,
0.29,83.1927,
0.291001,217.422,
0.292,-183.708,
0.293001,241.234,
0.294,-129.429,
0.295,119.45,
0.296001,-396.739,
0.297,-109.558,
0.298,120.135,
0.299001,-139.14,
0.3,-34.8602,
Time(s),Acceleration(m_s2),5_AT3_Floor/AT/C3/MeshedPart-PART-1-1 in Element 137655
0,-9.31477,
0.00100059,-10.2335,
0.0020004,-10.2335,
0.00300008,-10.4791,
0.00400059,-9.98784,
0.00500027,-116.87,
0.00600079,20.2378,
0.00700047,-251.36,
0.00800003,-192.609,
0.00900083,-141.109,
0.0100008,-390.702,
0.0110008,-241.846,
0.0120007,-152.997,
0.0130007,-268.795,
0.0140004,108.671,
0.0150006,72.2156,
0.0160004,277.639,
0.0170004,649.347,
0.0180004,475.916,
0.0190003,526.41,
0.0200003,558.148,
0.0210002,7.69167,
0.0220002,469.278,
0.0230002,-32.3637,
0.0240001,19.8412,
0.0250001,162.578,
0.026,-170.08,
0.027,265.302,
0.0280008,-36.9099,
0.0290008,-88.9128,
0.0300007,-208.011,
0.0310007,49.9023,
0.0320006,-28.9661,
0.0330006,-127.206,
0.0340006,4.86082,
0.0350005,-25.5991,
0.0360005,253.045,
0.0370005,78.3687,
0.0380004,54.6668,
0.0390004,55.2084,
0.0400003,176.304,
0.0410003,-109.501,
0.0420003,264.129,
0.0430002,26.0816,
0.0440002,1.95239,
0.0450001,437.594,
0.0460001,88.3459,
0.0470001,506.303,
0.048,-100.528,
0.0490008,247.552,
0.0500008,10.4497,
0.0510007,91.6124,
0.0520007,34.1099,
0.0530007,331.125,
0.0540006,263.601,
0.0550006,566.529,
0.0560006,152.297,
0.0570005,133.003,
0.0580005,94.8228,
0.0590004,-92.7837,
0.0600004,-453.982,
0.0610004,-212.797,
0.0620003,383.191,
0.0630008,-224.593,
0.0640005,421.579,
0.0650005,438.067,
0.0660002,353.247,
0.0670007,229.384,
