Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 in Element 103580
0.0620002,487.249,
0.063001,225.567,
0.064001,345.717,
0.0650004,571.515,
0.0660008,796.926,
0.0670004,-797.12,
0.0680008,-219.372,
0.0690002,-59.5033,
0.0700006,518.451,
0.071001,439.612,
0.0720009,-924.305,
0.0730007,827.581,
0.0740004,519.359,
0.0750003,-587.271,
0.0760009,-547.437,
0.0770002,-612.179,
0.078001,728.552,
0.0790001,180.837,
0.0800005,-159.753,
0.0810007,325.22,
0.0820008,-253.479,
0.083,1145.02,
0.0840008,77.6352,
0.0850007,-115.28,
0.0860005,-534.061,
0.0870003,397.413,
0.088,208.173,
0.0890008,299.863,
0.0900006,-817.958,
0.0910004,984.358,
0.0920004,621.366,
0.0930002,462.611,
0.094001,50.4122,
0.0950008,-433.035,
0.0960006,564.592,
0.0970003,714.247,
0.0980001,484.33,
0.0990009,885.44,
0.100001,-838.052,
0.101001,656.451,
0.102,-294.64,
0.103,406.744,
0.104001,47.7064,
0.105001,-386.693,
0.106,-146.302,
0.107,152.122,
0.108,631.967,
0.109001,-297.832,
0.110001,286.634,
0.111,760.309,
0.112,255.722,
0.113,-303.193,
0.114001,-302.053,
0.115001,254.858,
0.116,235.857,
0.117,60.6429,
0.118,333.562,
0.119001,-288.605,
0.120001,262.986,
0.121,132.453,
0.122,-536.789,
0.123,-445.793,
0.124001,318.637,
0.125001,32.0512,
0.126,461.03,
0.127001,-544.946,
0.128001,517.185,
0.129001,106.565,
0.130001,897.956,
0.131,-87.122,
0.132,-35.3481,
0.133,-121.287,
0.134,-444.529,
0.135001,144.822,
0.136001,-224.748,
0.137001,-528.885,
0.138001,391.429,
0.139001,23.2675,
0.14,-294.193,
0.141,-469.292,
0.142001,-118.147,
0.143,228.627,
0.144001,-818.946,
0.145001,-192.686,
0.146001,-430.902,
0.147,61.8708,
0.148,158.81,
0.149,-38.7265,
0.15,100.129,
0.151001,287.328,
0.152001,-0.606159,
0.153001,176.269,
0.154001,-157.979,
0.155001,-355.175,
0.156,439.183,
0.157,34.3026,
0.158,-221.819,
0.159,159.139,
0.16,-340.039,
0.161001,387.48,
0.162001,-312.356,
0.163001,331.147,
0.164001,-352.188,
0.165001,272.595,
0.166,-212.038,
0.167,-45.9524,
0.168,139.905,
0.169,-346.398,
0.17,23.9974,
0.171,400.624,
0.172,-269.567,
0.173001,-178.209,
0.174001,-86.5379,
0.175001,-173.083,
0.176001,-113.45,
0.177,-429.896,
0.178,-209.178,
0.179,-534.109,
0.18,-187.825,
0.181,195.316,
0.182001,77.8159,
0.183001,-237.119,
0.184001,419.455,
0.185001,-499.214,
0.186001,556.982,
0.187,-541.365,
0.188,-207.374,
0.189,761.234,
0.19,-78.5303,
0.191,534.474,
0.192001,-121.076,
0.193001,-267.695,
0.194001,447.991,
