Time(s),Acceleration(m_s2),1_AT3_Field/A/C3/MeshedPart-PART-1-1 at Node 120505
0.0740008,-75.5757,
0.0750004,336.486,
0.0760006,-286.765,
0.0770001,198.102,
0.0780002,289.103,
0.0790001,-9.36796,
0.0800003,198.034,
0.0810003,-140.24,
0.0820008,489.378,
0.0830008,124.55,
0.0840008,-484.337,
0.0850002,613.599,
0.086001,-401.076,
0.0870006,508.739,
0.088,517.511,
0.0890004,115.704,
0.090001,104.179,
0.0910003,269.819,
0.0920007,554.056,
0.0930001,-350.312,
0.0940007,459.001,
0.0950005,-51.7601,
0.0960003,483.563,
0.0970001,411.181,
0.0980009,27.4258,
0.0990007,280.951,
0.1,-505.262,
0.101,341.649,
0.102,300.026,
0.103001,-152.553,
0.104001,234.858,
0.105,246.417,
0.106,-461.941,
0.107,307.776,
0.108001,127.056,
0.109001,-21.2741,
0.11,773.893,
0.111,340.276,
0.112,296.158,
0.113,29.7048,
0.114,111.031,
0.115001,316.626,
0.116001,-78.0889,
0.117001,98.083,
0.118001,-412.528,
0.119,102.157,
0.12,-32.2966,
0.121,-196.117,
0.122,80.258,
0.123,6.9871,
0.124001,146.945,
0.125001,-132.11,
0.126001,212.043,
0.127001,-412.834,
0.128001,-31.925,
0.129,58.4678,
0.13,30.7918,
0.131,457.529,
0.132,-135.91,
0.133,466.561,
0.134001,-732.6,
0.135001,-87.6257,
0.136001,-114.01,
0.137001,-161.803,
0.138001,220.395,
0.139,48.7404,
0.14,-336.853,
0.141,252.5,
0.142,-180.242,
0.143001,247.456,
0.144001,-259.864,
0.145001,73.6658,
0.146001,30.6967,
0.147,-311.946,
0.148001,-184.338,
0.149001,20.6922,
0.150001,15.5767,
0.151,34.8689,
0.152,-189.083,
0.153001,-112.896,
0.154,164.758,
0.155,-186.575,
0.156,-449.257,
0.157001,190.793,
0.158001,183.955,
0.159001,47.9526,
0.160001,44.1085,
0.161001,-189.708,
0.162,38.1173,
0.163,-427.304,
0.164,99.7047,
0.165,-96.5879,
0.166,-238.262,
0.167001,230.671,
0.168001,-156.087,
0.169001,71.935,
0.170001,77.0267,
0.171001,-413.626,
0.172,191.671,
0.173,-207.167,
0.174,15.1029,
0.175,-401.361,
0.176001,-5.96162,
0.177001,-48.046,
0.178001,-21.5787,
0.179001,288.941,
0.180001,-617.138,
0.181,-219.502,
0.182,-137.495,
0.183,66.3751,
0.184,-166.703,
0.185,-300.098,
0.186001,342.043,
0.187001,-65.843,
0.188001,129.498,
0.189001,-265.842,
0.190001,-153.823,
0.191,850.5,
0.192,-523.19,
0.193,71.5841,
0.194,-137.764,
0.195,64.3967,
0.196001,435.051,
0.197001,136.923,
0.198001,-35.9553,
0.199001,54.4884,
0.2,-98.9213,
0.201,67.3468,
0.202,143.889,
0.203,-82.3681,
0.204,359.391,
0.205001,-11.5187,
0.206001,223.324,
0.207001,-27.5786,
0.208001,342.484,
0.209001,87.9894,
0.21,-23.7487,
0.211,260.692,
0.212,-278.353,
0.213,7.63759,
0.214,207.236,
0.215001,-168.791,
0.216001,104.565,
0.217001,-1.86429,
0.218001,115.336,
0.219,-103.004,
0.22,-330.477,
0.221,24.7832,
0.222,163.553,
0.223,-30.1502,
0.224001,110.161,
0.225001,-7.49033,
0.226001,211.862,
0.227001,193.591,
0.228001,-106.783,
0.229,-243.252,
0.23,-196.792,
0.231,217.477,
0.232,-183.386,
0.233,116.83,
0.234001,-222.688,
0.235001,276.064,
0.236001,-103.65,
0.237001,231.289,
0.238,-143.036,
0.239,254.231,
0.24,-252.306,
0.241,-124.645,
0.242,-370.607,
0.243001,13.9926,
0.244001,-118.034,
0.245001,94.8342,
0.246001,-195.168,
0.247001,-330.952,
0.248001,-202.169,
0.249001,-188.201,
0.250001,-267.33,
0.251001,186.84,
0.252,165.818,
0.253,95.8054,
0.254,-4.25381,
0.255,167.644,
0.256,230.966,
0.257001,-66.437,
0.258001,-57.6564,
0.259001,-282.112,
0.260001,-181.999,
0.261001,-181.104,
0.262,127.197,
0.263,-122.703,
0.264,273.488,
0.265,159.396,
0.266,-126.541,
0.267001,93.7844,
0.268001,-330.059,
0.269001,124.171,
0.270001,-129.939,
0.271001,282.906,
0.272,114.768,
0.273,81.8525,
0.274,-117.086,
0.275,91.9472,
0.276001,-33.3745,
0.277001,-65.5037,
0.278001,-505.286,
0.279001,-170.168,
0.280001,-99.094,
0.281,74.0766,
0.282,203.148,
0.283,-62.6637,
0.284,-215.318,
0.285,13.9558,
0.286001,-155.209,
0.287001,-341.018,
0.288001,200.704,
0.289001,-139.23,
0.290001,92.4379,
0.291,-39.5972,
0.292,188.884,
0.293,346.863,
0.294,174.701,
0.295001,326.215,
0.296001,-177.542,
0.297001,190.132,
0.298001,137.249,
0.299001,86.5263,
0.3,148.673,
Time(s),Acceleration(m_s2),5_AT3_Field/A/C3/MeshedPart-PART-1-1 in Element 100524
0,-9.17709,
0.00100087,-9.70114,
0.00200092,-10.0306,
0.00300098,-9.70114,
0.0040004,-9.5542,
0.00500011,-69.0341,
0.00600004,-26.5939,
0.00700095,8.84013,
0.00800051,-241.336,
0.00900044,-190.142,
0.0100009,-152.067,
0.0110003,-448.428,
0.0120003,-180.587,
0.0130004,-274.539,
0.014001,-95.3192,
0.0150006,152.888,
0.016001,99.7975,
0.017001,219.965,
0.0180008,491.814,
0.0190005,423.727,
0.0200003,624.439,
0.0210001,280.727,
0.0220002,240.548,
0.0230004,221.076,
0.0240006,-229.365,
0.0250008,-23.0178,
0.026001,-199.418,
0.0270001,-172.68,
0.0280003,-98.2893,
0.0290005,38.4012,
0.0300007,-158.122,
0.0310009,234.42,
0.0320011,119.828,
0.0330002,190.761,
0.0340004,258.883,
0.0350008,347.625,
0.0360008,290.697,
0.0370007,334.576,
0.0380006,187.129,
0.0390005,-6.16571,
0.0400007,15.4808,
0.0410009,-97.561,
0.042,-250.379,
0.0430002,-88.3053,
0.0440005,78.0121,
0.0450005,-109.709,
0.0460002,215.288,
0.0470001,79.9234,
0.0480006,430.486,
0.049001,-11.8236,
0.0500004,108.141,
0.0510008,-59.3129,
0.0520006,79.7248,
0.0530006,-279.055,
0.0540007,179.898,
0.0550009,12.7939,
0.0560008,-202.043,
